Symbol,Company_Name,Catalyst_Score,Recommendation,Catalyst_Type,Explosive_Potential,Price_Change_1D,Volume_Spike,Technical_Score,Fundamental_Score,Overall_Score,Risk_Level,Hedge_Fund_Rank,Institutional_Rank,Quant_Rank
AR.TO,AR.TO,69.77446147693014,BUY,upgrade,True,19.525306995376216,11.857782480238559,100.0,60.0,76.24000000000001,High,N/A,N/A,N/A
BIDU,Baidu Inc,69.2771080467387,BUY,earnings,True,34.78250365981092,8.627220261304961,48.49397563271709,55.42168643739097,51.95783103505403,High,N/A,N/A,N/A
AEP,AEP,68.52279933309705,BUY,partnership,True,31.344719692635174,8.640858890760093,47.96595953316793,54.81823946647765,51.39209949982279,High,N/A,N/A,N/A
AOSL,AOSL,66.40839614473664,BUY,product,True,24.90995938837467,13.61166685939703,46.48587730131565,53.126716915789316,49.806297108552485,High,N/A,N/A,N/A
APPH,APPH,65.69990885552741,BUY,product,True,16.8404101736525,10.510079953484977,45.98993619886919,52.55992708442193,49.27493164164556,High,N/A,N/A,N/A
BLNK,BLNK,64.38325755455601,BUY,product,True,34.740956869950935,11.358132029781345,45.06828028818921,51.50660604364481,48.28744316591701,Medium,N/A,N/A,N/A
BE,BE,64.26426405518255,BUY,upgrade,True,16.5785005028403,10.342933065432948,44.98498483862778,51.411411244146045,48.19819804138692,Medium,N/A,N/A,N/A
AVO,AVO,63.98435229493337,BUY,partnership,True,26.614331469522327,14.059679740854422,44.78904660645336,51.1874818359467,47.988264221200026,Medium,N/A,N/A,N/A
ABT,ABT,62.488828087391184,BUY,product,False,5.5083808211810155,5.470267260597044,43.74217966117383,49.99106246991295,46.866621065543384,Medium,N/A,N/A,N/A
BIOC,BIOC,62.03550930713775,BUY,partnership,True,28.150141537157413,6.638699438838636,43.42485651499642,49.6284074457102,46.526631980353315,Medium,N/A,N/A,N/A
AEO,AEO,61.877659574416995,BUY,earnings,True,33.380371356739346,11.052196213932573,43.314361702091894,49.5021276595336,46.40824468081274,Medium,N/A,N/A,N/A
ALRM,ALRM,61.80244761873678,BUY,upgrade,True,21.50675922328007,5.452435173337625,43.26171333311574,49.441958094989424,46.351835714052584,Medium,N/A,N/A,N/A
BBIG,Vinco Ventures Inc,61.695349977105,BUY,earnings,True,32.43460809920394,10.548095830551759,43.1867449839735,49.356279981684004,46.271512482828754,Medium,N/A,N/A,N/A
BAM.TO,BAM.TO,61.53454301293556,BUY,product,True,19.703157509613902,6.004461463566213,43.074180109054886,49.22763441034845,46.15090725970167,Medium,N/A,N/A,N/A
ALGN,ALGN,61.4489411960716,BUY,product,True,11.691816818887931,3.6260998305982506,43.01425883725012,49.159152956857284,46.086705897053704,Medium,N/A,N/A,N/A
BKKT,BKKT,61.22800870489759,BUY,product,False,5.742755248729627,3.5701078254007492,42.85960609342831,48.98240696391807,45.92100652867319,Medium,N/A,N/A,N/A
BAC,Bank of America Corp,60.26683104014438,BUY,earnings,True,26.589519538659967,7.622692419881788,42.18678172810107,48.213464832115505,45.200123280108286,Medium,N/A,N/A,N/A
AVB,AVB,59.83324173672481,BUY,partnership,False,8.036553703461141,6.318124986959502,41.883269215707365,47.86659338937985,44.87493130254361,Medium,N/A,N/A,N/A
BATT,BATT,58.823151802982636,BUY,earnings,False,9.239629574852575,5.557323283472453,41.176206262087845,47.05852144238611,44.11736385223698,Medium,N/A,N/A,N/A
ADTX,ADTX,58.76306719349391,BUY,earnings,False,8.957235968004241,5.596323302814332,41.134147035445736,47.01045375479513,44.072300395120436,Medium,N/A,N/A,N/A
AFRM,AFRM,58.18030411482671,BUY,partnership,True,10.333855154483045,3.5268595285532953,40.7262128803787,46.54424329186137,43.63522808612004,Medium,N/A,N/A,N/A
ARWR,ARWR,57.524573392337075,BUY,product,False,5.598268151223583,3.1786225808240576,40.26720137463595,46.01965871386966,43.14343004425281,Medium,N/A,N/A,N/A
ALXN,ALXN,57.2292702666949,BUY,product,False,8.08642868959426,4.510928640662911,40.060489186686425,45.78341621335592,42.92195270002117,Medium,N/A,N/A,N/A
BHAT,BHAT,56.89206494529343,BUY,partnership,True,10.500254816869678,4.011427762283093,39.824445461705395,45.513651956234746,42.66904870897007,Medium,N/A,N/A,N/A
AI,AI,55.71930772702572,BUY,earnings,False,5.4854421386732,3.9820802393423747,39.003515408918005,44.57544618162058,41.78948079526929,Medium,N/A,N/A,N/A
